PlotCode	ForestAge	PlotArea	CensusInterval	Latitude	Longitude	Weight	AGC	AGWP	Mortality	NetCarbonChange	TaxDiv	FD	PD
104	>50	0.0614	6	-25.33	-48.66	1.21	150.93	2.71	4.78	-2.07	12.45	4.74	1.43
110	26-50	0.0614	6	-25.33	-48.67	1.21	91.31	5.09	2.47	2.62	7.96	1.72	1.21
1537	>50	1	9	-29.42	-50.39	2.08	144.87	1.75	2.17	-0.42	17.19	3.09	1.41
1538	26-50	1	9	-29.41	-50.40	2.08	113.99	3.61	2.12	1.49	12.31	3.57	1.41
1539	>50	1	9	-29.43	-50.39	2.08	144.08	2.22	1.29	0.93	13.06	4.48	1.36
1540	>50	1	9	-29.42	-50.39	2.08	179.69	5.24	2.13	3.11	12.56	3.58	1.34
1541	>50	1	9	-29.42	-50.42	2.08	184.83	5.25	3.36	1.89	14.09	5.2	1.38
1542	26-50	1	9	-29.41	-50.39	2.08	127.77	5.04	2.45	2.59	19.54	3.08	1.39
1543	>50	1	9	-29.44	-50.37	2.08	160.18	7.44	1.84	5.61	12.11	5.84	1.38
1544	>50	1	9	-29.43	-50.38	2.08	111.1	2.8	1.3	1.5	13.97	2.85	1.4
1545	>50	1	9	-29.44	-50.37	2.08	160.18	4.52	3.05	1.48	11.09	5.08	1.37
1546	>50	1	9	-29.42	-50.37	2.08	196.8	5.67	0.68	4.99	5.56	6.58	1.34
157FL	26-50	0.0614	6	-25.30	-48.70	1.21	61.01	5.3	2.67	2.63	8.01	2.13	1.41
158FL	26-50	0.0614	6	-25.30	-48.70	1.21	41.57	2.53	1.87	0.67	4.27	1.96	1.06
162	26-50	0.0614	6	-25.29	-48.68	1.21	87.97	1.84	0.08	1.76	17.64	5.22	1.18
25Carbono	>50	0.0614	6	-25.30	-48.66	1.21	83.95	0.7	0.74	-0.04	15.07	2	1.29
36	15-25	0.0614	6	-25.30	-48.66	1.21	79.97	3.1	0.26	2.85	14.55	3.03	1.25
41MFL	15-25	0.0614	6	-25.32	-48.68	1.21	90.02	3.93	0.96	2.96	7.01	1.7	1.32
80	26-50	0.0614	6	-25.30	-48.67	1.21	99.61	4.13	0.99	3.14	15.83	2.73	1.29
86	26-50	0.0614	6	-25.30	-48.68	1.21	83.3	2.53	0.06	2.47	13.19	2.06	1.32
AR03	15-25	0.0614	6	-25.31	-48.69	1.21	62.94	3.15	0.36	2.78	5.15	2.38	1.27
av1	26-50	0.0614	6	-25.32	-48.70	1.21	97.68	7.46	0.42	7.04	8.53	2.69	1.3
av2	26-50	0.0614	6	-25.32	-48.70	1.21	100.37	5.07	0.98	4.09	5.28	1.21	0.93
av3	26-50	0.0614	6	-25.32	-48.70	1.21	45.13	2.93	1	1.93	7.25	2.39	1.18
BJS	>50	1	4	-28.34	-49.74	1.59	80.46	2.45	1.69	0.76	12.79	3.52	1.37
CA	>50	1	4	-28.20	-50.75	1.59	91.83	3.81	0.75	3.06	7.93	2.71	1.31
CA2A	15-25	0.0614	6	-25.29	-48.66	1.21	64.69	5.6	1.94	3.67	3.57	1.03	1.18
CA2M	26-50	0.0614	6	-25.30	-48.67	1.21	95.44	4.23	0.66	3.57	14.9	3.17	1.47
CAA3	15-25	0.0614	6	-25.30	-48.66	1.21	58.51	2.87	1.34	1.53	5.65	2.21	1.37
CAF2	>50	0.0614	6	-25.30	-48.65	1.21	96.52	7.93	6.39	1.54	16.41	4.63	1.22
CAF3	>50	0.0614	6	-25.32	-48.66	1.21	105.66	1.86	1.3	0.56	19.84	5.69	1.31
ENN-01	>50	0.12	6.0445	-29.62	-50.18	1.31	155.52	4.99	0.83	4.16	6.91	2.93	1.41
ENN-02	>50	0.12	5.6875	-29.61	-50.19	1.28	67.46	1.85	0.5	1.35	10.91	3.23	1.38
Epagri	>50	1	4	-27.75	-50.43	1.59	74.01	1.77	1.3	0.47	9.31	2.62	1.38
EW-10	>50	0.0614	6	-25.30	-48.66	1.21	98.19	5.55	1.9	3.65	21.55	4.71	1.36
EW31	15-25	0.0614	6	-25.30	-48.66	1.21	51.69	2.16	0.19	1.97	3.8	1.46	1.15
FNC-01	>50	1.2	5.7285	-27.11	-52.78	1.85	88.26	1.86	2.15	-0.3	11.37	4.29	1.32
GL1A	15-25	0.0614	6	-25.33	-48.70	1.21	28.05	1.87	1.5	0.37	5.03	1.96	1.42
GL3A	15-25	0.0614	6	-25.33	-48.69	1.21	33.34	3.07	2.79	0.28	2.82	0.99	1.04
GL3M	15-25	0.0614	6	-25.32	-48.68	1.21	32.03	1.97	3.02	-1.05	8.82	1.8	1.36
LIX01	15-25	0.0614	6	-25.31	-48.68	1.21	37.12	2.86	2.68	0.18	1.24	0.38	1.07
MFO-01	>50	0.12	6.1695	-29.54	-50.19	1.33	175.9	6.42	1.33	5.09	12.03	3.31	1.34
MN	>50	1	4	-28.07	-49.63	1.59	60.04	1.69	2.29	-0.61	4.6	1.53	1.42
Painel	26-50	1	4	-27.93	-49.95	1.59	63.71	1.57	0.93	0.64	7.94	5.22	1.39
Parnamul	>50	1	4	-27.79	-50.35	1.59	47.59	0.8	1.53	-0.73	21.89	3.47	1.3
PB1	>50	1	4	-27.86	-50.19	1.59	92.44	2.24	1.62	0.62	25.03	4.25	1.37
PB2	>50	1	4	-27.85	-50.17	1.59	62.49	2.1	0.42	1.68	19.16	4.04	1.37
PNA-01	>50	0.12	5.603	-29.17	-50.12	1.27	110.38	5.55	0.73	4.82	7.88	5.5	1.18
PNA-02	>50	0.12	5.522	-29.18	-50.10	1.26	102.18	3.55	0.47	3.08	10.37	6.22	1.29
PNA-03	>50	0.12	5.603	-29.16	-50.09	1.27	61.87	2.08	1.9	0.17	8.41	2.44	1.37
PRM-01	>50	0.12	5.4425	-29.49	-50.21	1.25	108.89	4.06	0.86	3.2	9.3	3.15	1.47
PRM-02	>50	0.12	5.4455	-29.49	-50.19	1.25	84.8	2.26	0.69	1.57	7.68	3.51	1.36
PRM-03	>50	0.12	5.3015	-29.48	-50.22	1.24	55.15	2.78	0.43	2.36	9.41	4	1.47
PSJ2	15-25	0.2	4	-28.08	-49.51	1.17	18.84	1.65	0.07	1.59	1.45	2.69	1.79
vargem	>50	0.96	1	-27.56	-50.96	0.99	44.64	1.72	0.72	1	13.45	3.95	1.39
